meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
288.4782608695652,100,900,63191.62450592884,251.37944328430842,0.06258712531001731,0.009061454348663964,0.2194533399881191,0.002902439398990414,0.0538742925613916,2.3,28,767.8214285714286,0,2333,2.8,0.6363636363636364,0.3181818181818182,51.199668606538715,Search,10,15
329.53846153846155,100,1067,81573.61846153846,285.6109564802066,0.04453710347286252,0.011367152886191719,0.13393657093075628,0.0006459767314749679,0.025416072306219305,2.6,9,1229.4444444444443,133,2434,0.9,0.52,0.52,234.28574142681637,Search,10,15
344.4166666666667,100,900,60357.90579710145,245.67846018139534,0.04884022750014758,0.027928310166396266,0.1866281385041045,0.0013363773512705811,0.03655649533626796,2.4,7,1547.4285714285713,233,5800,0.7,0.391304347826087,0.391304347826087,59.29579718307409,Search,10,15
260.7931034482759,100,933,49452.52709359605,222.37924159776256,0.0655971804232215,0.013391768459451031,0.2317808249515399,0.0032924754210967725,0.0573800960359668,2.9,15,826.6,33,3433,1.5,0.5357142857142857,0.35714285714285715,76.21719138484937,Search,10,15
244.11764705882354,100,700,27258.77361853833,165.10231257780228,0.06285964047715088,0.009802175331682438,0.29744479315740163,0.005009281267164946,0.07077627616062424,3.4,15,902.4,67,3134,1.5,0.3939393939393939,0.45454545454545453,225.06961931245982,Search,10,15
306.0,100,1300,67982.5925925926,260.7347168916955,0.05280658884112606,0.012361435285554072,0.12706515273450897,0.0011589699217356437,0.03404364730365481,2.8,9,1244.5555555555557,33,3367,0.9,0.5555555555555556,0.37037037037037035,357.57692588483513,Search,10,15
276.258064516129,100,900,30286.531182795694,174.03025938840548,0.059404527043653774,0.026536648985535493,0.198306120814297,0.0019237803427572396,0.04386092045041052,3.1,4,2608.5,633,7734,0.4,0.5333333333333333,0.4,454.6196008692439,Inspection,10,15
321.4642857142857,100,1033,56854.85052910053,238.44255184236837,0.046908481220804064,0.010670614359622148,0.18872251536569926,0.0013644347556283614,0.03693825599061712,2.8,4,1308.25,900,1700,0.4,0.25925925925925924,0.37037037037037035,506.11180525650644,Inspection,10,15
258.6363636363636,100,867,34542.67613636364,185.85660100293356,0.05075251742139964,0.024357104964641316,0.13477035563062198,0.0008356664281182344,0.028907895601690457,3.3,5,1513.2,33,2800,0.5,0.4375,0.4375,767.9929561361683,Inspection,10,15
281.06666666666666,100,867,27135.029885057473,164.72713767032278,0.04355957151029095,0.02794684429656007,0.10562525560914796,0.0004981559000702646,0.02231940635568663,3.0,4,2058.5,767,3567,0.4,0.6206896551724138,0.5172413793103449,530.024397146673,Inspection,10,15
278.4516129032258,100,966,34684.05591397849,186.23655901561995,0.04391872061122198,0.007238893270143792,0.1110574726693898,0.0006367972672132534,0.025234842325904346,3.1,6,1794.5,367,4000,0.6,0.4666666666666667,0.3333333333333333,817.8514040560277,Inspection,10,15
392.7826086956522,100,1067,56401.26877470356,237.48951297837039,0.0492489183129885,0.004388646521088535,0.16178565604972966,0.0014151576836191288,0.0376185816268919,2.3,6,1516.8333333333333,300,5033,0.6,0.5,0.4090909090909091,613.7082992848635,Inspection,10,15
417.4761904761905,166,1101,55552.86190476189,235.6965462300241,0.054010530243149155,0.015029122440382509,0.21304013542438321,0.0021657662164661475,0.0465377934206828,2.1,9,941.1111111111111,34,5500,0.9,0.5,0.55,454.3841540718519,Inspection,10,15
195.96969696969697,100,433,8178.530303030303,90.43522711327873,0.10395107044769245,0.008585893514319726,0.32225650940104766,0.00676980268154356,0.08227881064735659,3.3,56,565.5892857142857,33,1334,5.6,0.46875,0.46875,110.1578455808449,Reading,10,15
281.2,100,700,29406.92413793103,171.48447200236828,0.05002667709301288,0.028474295607470373,0.3261886962884431,0.0030789875386463177,0.05548862530867311,3.0,12,1016.5833333333334,33,2400,1.2,0.7931034482758621,0.5172413793103449,133.07042396757382,Reading,10,15
237.23529411764707,100,700,19383.761140819966,139.22557646072062,0.050001255689159974,0.02811658287339264,0.44488874939906764,0.005202596420868212,0.07212902620213454,3.4,13,1020.6153846153846,0,3267,1.3,0.7575757575757576,0.45454545454545453,168.28245865805698,Reading,10,15
243.05882352941177,100,500,15733.69340463458,125.43402012466386,0.04854502613534767,0.02826740746384095,0.38162830716863577,0.0036841690704177824,0.0606973563709144,3.4,15,946.6,33,2033,1.5,0.8787878787878788,0.5757575757575758,156.13360118052614,Reading,10,15
285.56666666666666,133,734,29141.012643678157,170.70738895454454,0.05423606329668778,0.02010188460232504,0.4256883484932766,0.005202053189014389,0.07212526040864178,3.0,10,1070.1,33,2434,1.0,0.7931034482758621,0.5172413793103449,139.46925915311678,Reading,10,15
242.97142857142856,100,600,16818.910924369742,129.68774392505154,0.06203364300976533,0.006498422446005136,0.45922431676825876,0.009152912908243644,0.09567085715223651,3.5,14,828.6428571428571,34,2200,1.4,0.8529411764705882,0.5882352941176471,161.0500148809293,Reading,10,15
273.06451612903226,100,900,29119.32903225807,170.64386608448038,0.06572338374670969,0.02813484934076348,0.4484974177210683,0.0092227490854495,0.09603514505351414,3.1,10,1000.0,1000,1000,1.0,0.7,0.5,150.40074521143433,Reading,10,15
