meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
288.962962962963,100,667,17732.652421652423,133.16400572847164,0.10849653178442599,0.0283592440973385,0.4186911184608186,0.014399619245563508,0.11999841351269402,2.7,24,711.0416666666666,33,3234,2.4,0.6153846153846154,0.6153846153846154,42.34720984862674,Reading,10,17
226.91666666666666,100,567,11192.078571428572,105.79262059060912,0.05812429830616028,0.02812876163730528,0.30421273679621946,0.0024181487390667763,0.049174675790154186,3.6,10,876.5,33,3134,1.0,0.7142857142857143,0.4857142857142857,157.01451286320005,Reading,10,17
317.22222222222223,100,800,26409.256410256403,162.5092502298143,0.05045734584292366,0.011534095737203438,0.27489528999917917,0.0023268431094475594,0.048237362173397906,2.7,18,816.9444444444445,34,3500,1.8,0.8461538461538461,0.38461538461538464,108.9392016351713,Reading,10,17
230.25,100,633,14201.806451612903,119.17133233967347,0.05962833749550857,0.02845087499052858,0.3601890182760636,0.005324779800885798,0.0729710888015644,3.2,32,970.875,34,2800,3.2,0.7419354838709677,0.5161290322580645,144.929759997889,Reading,10,17
279.5483870967742,100,567,21474.589247311826,146.54210742074042,0.055289458365513265,0.02788778620472384,0.33002920774497185,0.002856291300572677,0.05344428220654364,3.1,4,2416.5,66,4000,0.4,0.7666666666666667,0.5666666666666667,131.3063628829974,Reading,10,17
247.71875,100,533,12745.692540322581,112.89682254307506,0.0647262090727703,0.02825132583216232,0.39718029176928993,0.0059369032696461425,0.07705130284197759,3.2,19,637.0526315789474,34,1733,1.9,0.7419354838709677,0.45161290322580644,138.65192402480648,Reading,10,17
274.6333333333333,100,667,21659.412643678163,147.17137168511465,0.054335488703677236,0.02793250007552056,0.3600707084111809,0.003711850582668906,0.06092495861852436,3.0,7,1542.857142857143,67,6333,0.7,0.7241379310344828,0.5172413793103449,127.37983209554811,Reading,10,17
188.11764705882354,100,733,18098.40998217469,134.53033108624496,0.10938322701206922,0.028589089084082666,0.48144303770659375,0.01406225049756894,0.11858436025702943,3.4,36,725.9166666666666,33,1100,3.6,0.5151515151515151,0.5757575757575758,48.740226832092915,Search,10,17
186.6,100,433,9036.502564102564,95.06052053351361,0.05349566471476599,0.009629213582900257,0.19194286165417992,0.001443540804134921,0.037993957468720224,4.0,17,800.1764705882352,67,5634,1.7,0.4358974358974359,0.6153846153846154,392.1185270082041,Search,10,17
223.90625,100,534,13792.28125,117.44054346774797,0.08167613247894034,0.028162367326375774,0.3291490993632139,0.006033358631737868,0.0776746975001375,3.2,29,709.2413793103449,33,5100,2.9,0.5483870967741935,0.4838709677419355,260.866607216906,Search,10,17
175.2258064516129,100,533,11679.247311827952,108.07056635286017,0.04897284500544327,0.02825147804172313,0.12160915860300603,0.0007758544596283353,0.02785416413444021,3.1,33,573.8484848484849,33,2367,3.3,0.7,0.43333333333333335,60.08444491557626,Search,10,17
185.4102564102564,100,833,16523.77462887989,128.5448350921961,0.07724435342882838,0.02769728415533613,0.3800818716720532,0.00689887457454569,0.08305946408775877,3.9,16,1091.75,34,4100,1.6,0.42105263157894735,0.5526315789473685,119.60847897809401,Search,10,17
174.89285714285714,100,467,9840.247354497356,99.19802092026512,0.08006934272890553,0.028431613590989356,0.40678264734233527,0.008663922693092543,0.09308019495624481,2.8,77,836.2467532467532,33,3067,7.7,0.5185185185185185,0.3333333333333333,24.813509793463265,Search,10,17
167.86666666666667,100,333,4946.533333333334,70.33159555515098,0.07355697865833681,0.02817782158562247,0.23278079602254678,0.0033861211583991733,0.05819038716488466,3.0,77,933.3506493506494,133,1167,7.7,0.3793103448275862,0.5172413793103449,56.73009545178941,Search,10,17
356.5652173913044,100,1533,114778.34782608696,338.7895332298313,0.06212436815262721,0.019886285501257484,0.16186218969181468,0.0020169825733148098,0.044910829131901024,2.3,17,799.9411764705883,33,7967,1.7,0.5,0.5909090909090909,411.6293937205156,Inspection,10,17
299.89285714285717,100,1266,66521.95105820107,257.91849692916765,0.042702922322699004,0.013307828474015758,0.11121977376993608,0.00040932517682597307,0.02023178629844565,2.8,22,613.6818181818181,33,3834,2.2,0.4444444444444444,0.6666666666666666,322.3363940160141,Inspection,10,17
180.11904761904762,100,500,7438.058652729385,86.24418039919786,0.05550983896710091,0.027999217473962296,0.18773175632962644,0.0011685573038634316,0.03418416744435107,4.2,11,779.0909090909091,34,4233,1.1,0.4878048780487805,0.4634146341463415,465.42470669378247,Inspection,10,17
403.63157894736844,100,766,44272.69005847953,210.41076507270137,0.06395693595649496,0.028577295655763415,0.2323296094130847,0.002717581653974819,0.0521304292517798,1.9,39,436.8205128205128,33,2767,3.9,0.6111111111111112,0.6111111111111112,213.36680577879196,Inspection,10,17
295.037037037037,100,700,28169.42165242165,167.83748583800238,0.04947556322570406,0.028094938415230704,0.15626075282054402,0.0011016131191167904,0.03319055768011123,2.7,25,709.2,33,7067,2.5,0.34615384615384615,0.5769230769230769,639.9125077490738,Inspection,10,17
264.6875,100,967,32133.70564516129,179.25876727558207,0.0574498830269254,0.017501180372856154,0.1680866898677636,0.0012392321415683556,0.03520272917784011,3.2,0,0,0,0,0,0.3870967741935484,0.3548387096774194,174.5979874926961,Inspection,10,17
