meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
260.06666666666666,100,633,18743.92380952381,136.9084504679087,0.11728282022263604,0.028107396035808124,0.5688394929587803,0.029131678867205767,0.17068004823999133,3.0,16,585.1875,33,1334,3.2,0.6428571428571429,0.6428571428571429,33.821663925500474,Inspection,5,19
252.125,100,467,11836.783333333333,108.79698218853927,0.049379876583274515,0.028097866195369903,0.10942494561372525,0.0008604534966698941,0.029333487632224948,3.2,3,1522.3333333333333,566,2801,0.6,0.4666666666666667,0.4666666666666667,1233.9607373282508,Inspection,5,19
375.72727272727275,100,767,46032.01818181819,214.55073568230472,0.062082513162987525,0.02901827321199204,0.1865580532442522,0.0023181382099731335,0.048147047780452056,2.2,10,539.7,33,2566,2.0,0.4,0.2,380.7124114918056,Inspection,5,19
247.1764705882353,133,667,22392.404411764706,149.64091824018158,0.05025820927170978,0.013539527942636765,0.16808104473049526,0.0014237660024616608,0.037732823939663734,3.4,4,566.5,266,1100,0.8,0.375,0.5,334.81961137491635,Inspection,5,19
317.6923076923077,100,666,29174.064102564098,170.80416886763655,0.06312694734913028,0.02828808480633927,0.2108348438566415,0.0030158872996707167,0.0549170947854192,2.6,5,1266.8,167,2833,1.0,0.5,0.4166666666666667,258.0501600878681,Inspection,5,19
333.3076923076923,100,900,58624.23076923077,242.12441175815124,0.04657862777282065,0.019608943581878632,0.12830225447409602,0.0012098840930983765,0.034783388177381115,2.6,8,920.75,400,1000,1.6,0.5833333333333334,0.3333333333333333,701.5129026920822,Inspection,5,19
233.55555555555554,100,967,39495.555555555555,198.7348876155255,0.044123042294072115,0.005539501783652744,0.14398785179244097,0.0009088152220116003,0.030146562358113076,3.6,0,0,0,0,0,0.4117647058823529,0.47058823529411764,210.63266952092582,Inspection,5,19
346.2307692307692,167,700,36001.35897435898,189.74024078818647,0.07206556416344384,0.024452179834924453,0.1807892215575957,0.0022196057188452576,0.047112691696030884,2.6,1,1033.0,1033,1033,0.2,0.5833333333333334,0.5833333333333334,258.1881794257939,Inspection,5,19
278.5,100,700,36387.807692307695,190.75588507909185,0.043151210983625975,0.028037392673860462,0.08607002924927777,0.00034552897865581595,0.01858840979362721,2.8,12,927.75,233,1633,2.4,0.38461538461538464,0.46153846153846156,202.34125715571184,Inspection,5,19
208.57894736842104,100,566,20844.701754385962,144.37694329215438,0.04651819142475067,0.009007844093453987,0.12447539944360415,0.0008129867538704586,0.028512922576797675,3.8,3,1244.6666666666667,434,1867,0.6,0.3888888888888889,0.2777777777777778,350.67078679740507,Inspection,5,19
305.15384615384613,100,1100,71462.14102564102,267.3240375006352,0.0527003443359088,0.028646948805233198,0.14557068380479915,0.001064837147715328,0.032631842542451196,2.6,8,658.125,33,2534,1.6,0.5833333333333334,0.5833333333333334,204.19260059294012,Inspection,5,19
231.44444444444446,100,667,23222.614379084967,152.38967937194752,0.04386851433764034,0.004002889983216527,0.18165072148957084,0.0014219012772572364,0.037708106253924185,3.6,3,644.6666666666666,33,1234,0.6,0.5294117647058824,0.6470588235294118,492.8396949824985,Inspection,5,19
224.16666666666666,133,600,16836.735294117647,129.75644605998443,0.0478135411716403,0.02102374509019193,0.10813837167896381,0.0006427164602777457,0.025351853192177996,3.6,9,578.0,34,2900,1.8,0.47058823529411764,0.5294117647058824,648.518711205971,Inspection,5,19
252.0,100,634,28435.866666666665,168.6293766419916,0.05734233862178232,0.022266223778551777,0.160702214940669,0.0012472979207571366,0.035317105214854976,3.2,6,922.1666666666666,33,2867,1.2,0.4666666666666667,0.4,479.5490953312311,Inspection,5,19
550.0,133,1400,229412.85714285713,478.9706224215188,0.10458016442942897,0.024724733266508998,0.3479283856610308,0.012151466939701493,0.11023369239802092,1.6,10,363.3,33,1400,2.0,0.14285714285714285,0.42857142857142855,12.63578381500713,Reading,5,19
286.73333333333335,133,767,35205.20952380952,187.63051330689666,0.06036466790970418,0.02800197721970081,0.4507337064745354,0.011707406513736054,0.10820076946924201,3.0,5,1019.8,33,2933,1.0,0.9285714285714286,0.42857142857142855,71.62774280462506,Reading,5,19
302.42857142857144,133,667,25373.34065934066,159.29011475713318,0.06869066179115166,0.028476723019329648,0.4017667480781061,0.009663300078072336,0.09830208582767884,2.8,9,633.1111111111111,33,2100,1.8,0.6923076923076923,0.46153846153846156,62.53603569262104,Reading,5,19
295.73333333333335,100,734,37166.352380952376,192.7857680975242,0.0521810936468177,0.008116837195888342,0.32293332294094296,0.005726466810548483,0.07567342208826348,3.0,3,866.6666666666666,34,1400,0.6,0.7857142857142857,0.5714285714285714,67.89247231513352,Reading,5,19
320.53846153846155,100,1000,58074.60256410256,240.98672694590996,0.05841150346232259,0.02796961507031395,0.35269516171463605,0.0078707874657246,0.08871745862976801,2.6,9,881.4444444444445,133,2600,1.8,0.8333333333333334,0.6666666666666666,82.76171045432477,Reading,5,19
450.0,134,1033,88108.88888888889,296.83141492923033,0.05733440386434957,0.009581818504759273,0.2853727222332196,0.006518235013567516,0.08073558703302723,2.0,4,1141.5,33,2166,0.8,0.8888888888888888,0.4444444444444444,46.21829810384001,Reading,5,19
302.57142857142856,100,733,40417.032967032974,201.03987904650404,0.04925946935152415,0.014753601790536272,0.20725173188105897,0.0022985529231331478,0.04794322604011069,2.8,7,495.0,33,1533,1.4,0.9230769230769231,0.6153846153846154,63.98828100339338,Reading,5,19
249.05882352941177,166,433,8055.433823529413,89.75206863092022,0.037119771527228514,0.004744499658477743,0.16011694395989023,0.0010500228010021791,0.032404055317231194,3.4,0,0,0,0,0,0.8125,0.625,76.47550819846599,Reading,5,19
352.75,100,600,27396.93181818182,165.52018553089476,0.06719567951532614,0.028278008631050216,0.43271651800847616,0.013422459386708439,0.11585533818822695,2.4,12,683.25,0,2400,2.4,0.9090909090909091,0.5454545454545454,56.62949488846818,Reading,5,19
