meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
275.37704918032784,100,867,21875.972131147537,147.90528094408103,0.06359508218370556,0.00901724678827828,0.40655380041271355,0.006197008908849168,0.07872108300099262,3.05,19,1282.2631578947369,33,4600,0.95,0.7166666666666667,0.45,223.67777507162708,Reading,20,11
297.63157894736844,100,800,23587.343984962405,153.5817176130102,0.042862956512718764,0.02803479566053487,0.3225446326568959,0.0016443486738627426,0.04055056934079647,2.85,8,2445.875,633,6134,0.4,0.7678571428571429,0.48214285714285715,238.7830445760137,Reading,20,11
257.57575757575756,100,733,18684.40186480187,136.6908989830774,0.05267772229358655,0.015153317147436137,0.3014631436133475,0.002183295497557853,0.046725747693941215,3.3,5,3453.6,67,9434,0.25,0.7230769230769231,0.5076923076923077,305.14572097745565,Reading,20,11
268.87931034482756,100,867,26289.511494252874,162.1404067290226,0.0806734571553928,0.028122433833907688,0.5598395824375364,0.007500461920088659,0.08660520723425734,2.9,33,952.7878787878788,0,7433,1.65,0.5263157894736842,0.42105263157894735,95.39071135408611,Search,20,11
193.43661971830986,100,667,14674.22092555332,121.13719876880644,0.060224698243384875,0.028117691471873076,0.31301918002043494,0.003075776820095918,0.05545968644065632,3.55,39,921.4102564102565,33,4534,1.95,0.4714285714285714,0.5285714285714286,111.51663263727723,Search,20,11
219.359375,100,600,18050.456101190477,134.35198584758797,0.056875882639870964,0.028043208779893747,0.3725623738955919,0.003940219750663949,0.06277116974108377,3.2,30,868.0,34,4567,1.5,0.5238095238095238,0.5396825396825397,87.92015819760904,Search,20,11
265.16923076923075,100,733,26612.455288461537,163.13324397087658,0.0492506925918551,0.027972886341156508,0.2195552124375766,0.001175836542239813,0.03429047305360212,3.25,6,1994.8333333333333,34,7434,0.3,0.5,0.53125,574.2120358773863,Inspection,20,11
233.7941176470588,100,633,20730.971905179984,143.98254027895183,0.053366701075314826,0.028096122967357983,0.2495522817136035,0.0017564690575992833,0.041910250030264475,3.4,16,1462.625,33,6767,0.8,0.44776119402985076,0.5223880597014925,369.58626050814996,Inspection,20,11
297.07142857142856,100,1067,38746.540259740264,196.8414089050885,0.0635608621130663,0.021995095140723037,0.2242284459343294,0.0022228152813354943,0.047146742001282486,2.8,19,1087.8947368421052,33,7300,0.95,0.4909090909090909,0.5454545454545454,560.1692136753902,Inspection,20,11
